"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"305",13,"Troy Franklin",DEN,"WR106","12","3 out of 5 stars","-36"
"306",13,"Ray-Ray McCloud III",ATL,"WR107","5","3 out of 5 stars","-4"
"307",13,"Xavier Restrepo",TEN,"WR108","10","4 out of 5 stars","+62"
"308",13,"Christian Watson",GB,"WR109","5","2 out of 5 stars","+25"
"309",13,"Audric Estime",FA,"RB89","-","-","-2"
"310",13,"Noah Fant",CIN,"TE38","10","2 out of 5 stars","+15"
"311",13,"Tyler Higbee",LAR,"TE39","8","4 out of 5 stars","-2"
"312",13,"Chris Brooks",GB,"RB90","5","4 out of 5 stars","+276"
"313",13,"Tutu Atwell",LAR,"WR110","8","3 out of 5 stars","+7"
"314",13,"Jermaine Burton",CIN,"WR111","10","3 out of 5 stars","+110"
"315",13,"Khalil Herbert",FA,"RB91","-","-","+103"
"316",13,"Tez Johnson",TB,"WR112","9","3 out of 5 stars","+23"
"317",13,"Samaje Perine",CIN,"RB92","10","4 out of 5 stars","+70"
"318",13,"Kimani Vidal",LAC,"RB93","12","2 out of 5 stars","+290"
"319",13,"Phil Mafah",DAL,"RB94","10","2 out of 5 stars","+235"
"320",13,"Shedeur Sanders",CLE,"QB36","9","2 out of 5 stars","-80"
"321",13,"Ty Chandler",MIN,"RB95","6","3 out of 5 stars","+42"
"322",13,"Oronde Gadsden II",LAC,"TE40","12","3 out of 5 stars","+69"
"323",13,"Sincere McCormick",FA,"RB96","-","-","+324"
"324",13,"Josh Reynolds",NYJ,"WR113","9","4 out of 5 stars","+189"
"325",13,"Jordan Whittington",LAR,"WR114","8","3 out of 5 stars","+57"
"326",13,"Jason Myers",SEA,"K19","8","5 out of 5 stars","+1"
"327",13,"Damien Martinez",SEA,"RB97","8","3 out of 5 stars","+29"
"328",13,"Zamir White",LV,"RB98","8","2 out of 5 stars","-4"
"329",13,"Tyler Conklin",LAC,"TE41","12","3 out of 5 stars","-49"
